```
 mk@hades  ~  kubectl top pods --sort-by=memory                                                                                                                     [24/05/29| 1:10PM]
NAME                                  CPU(cores)   MEMORY(bytes)
hello-world-5596867969-txvxt          2m           19Mi
bloaty-mcbloatface-659964d46c-zrvdh   1m           3Mi
bloaty-mcbloatface-659964d46c-9t654   1m           3Mi
bloaty-mcbloatface-659964d46c-zngd2   1m           3Mi
canary-v2-74976dd559-zfv42            0m           3Mi
green-77789b48bd-24pbm                1m           3Mi
bloaty-mcbloatface-659964d46c-jnrmw   1m           3Mi
bloaty-mcbloatface-659964d46c-qwdbr   1m           3Mi
bloaty-mcbloatface-659964d46c-zd52d   1m           3Mi
bloaty-mcbloatface-659964d46c-wqzsl   1m           3Mi
bloaty-mcbloatface-659964d46c-q4hvf   1m           3Mi
green-77789b48bd-gcssn                1m           3Mi
blue-b7ccd66f8-w9pl4                  1m           3Mi
bloaty-mcbloatface-659964d46c-k9j8k   1m           3Mi
bloaty-mcbloatface-659964d46c-mlp5n   1m           3Mi
bloaty-mcbloatface-659964d46c-lwfc9   1m           2Mi
bloaty-mcbloatface-659964d46c-r4jp6   1m           2Mi
bloaty-mcbloatface-659964d46c-64wqq   1m           2Mi
bloaty-mcbloatface-659964d46c-w72tb   1m           2Mi
bloaty-mcbloatface-659964d46c-h5cgb   1m           2Mi
bloaty-mcbloatface-659964d46c-9tj5l   1m           2Mi
bloaty-mcbloatface-659964d46c-c75d2   1m           2Mi
blue-b7ccd66f8-64tdr                  1m           2Mi
blue-b7ccd66f8-jbs8p                  1m           2Mi
green-77789b48bd-xnf9j                1m           2Mi
canary-v1-6fdd868697-2bj5f            0m           2Mi
canary-v2-74976dd559-cj7k6            0m           2Mi
canary-v1-6fdd868697-q28xc            0m           2Mi
```

The highest pod memory usage is hello-world (19Mi), however the total memory that used by bloaty-mcbloatface is largest (42Mi in total)
